glottocode,name,isocodes,level,macroarea,latitude,longitude
3adt1234,3Ad-Tekles,,dialect,Africa,,
aari1239,Aari,aiw,language,Africa,5.95034,36.5721
aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648
abab1239,Ababda,,dialect,Africa,,
abak1242,Abak,,dialect,Africa,,
aban1242,Abanyom,abm,language,Africa,6.30619,8.63055
abar1239,Abar,,dialect,Africa,,
abay1238,Abayongo,,dialect,Africa,,
abbe1238,Abbey-Ve,,dialect,Africa,,
abda1238,'Abd Al-Kuri,,dialect,Africa,12.1959,52.2282
abee1242,Abé,aba,language,Africa,5.59682,-4.38497
abee1243,Abe (Anyin),,dialect,Africa,,
abed1238,Abedju-Azaki,,dialect,Africa,,
abgu1238,Abgue,,dialect,Africa,,
abid1235,Abidji,abi,language,Africa,5.65656,-4.58421
abie1238,Abiem,,dialect,Africa,,
abig1238,Abigar,,dialect,Africa,,
abil1238,Abiliang,,dialect,Africa,,
abin1242,Abini,,dialect,Africa,,
abka1238,Abkar,,dialect,Africa,,
aboo1242,Abo,,dialect,Africa,,
aboo1241,Abo (Bokyi),,dialect,Africa,,
abon1238,Abon,abo,language,Africa,6.90621,10.8769
abou1238,Abou Charib,,dialect,Africa,,
abro1238,Abron,abr,language,Africa,7.72094,-2.50289
abua1244,Abua,abn,language,Africa,4.83057,6.61492
abul1238,Abuldugu,,dialect,Africa,,
abur1243,Abure,abu,language,Africa,5.21534,-3.64123
abur1244,Abureni,mgj,language,Africa,4.62301,6.50634
abus1238,Abu Sinun,,dialect,Africa,,
ache1245,Acheron,acz,language,Africa,10.8827,30.3187
acht1239,Achterveld,,dialect,Africa,,
acol1236,Acoli,ach,language,Africa,3.57738,32.5147
adaa1238,Ada,,dialect,Africa,,
adam1253,Adamawa Fulfulde,fub,language,Africa,8.140326,13.077338
adam1238,Adamorobe Sign Language,ads,language,Africa,5.834,-0.151
adan1249,Adan,,dialect,Africa,,
adan1248,Adangbe,adq,language,Africa,6.50546,0.727155
adan1247,Adangme,ada,language,Africa,5.9437,0.13243
adar1242,Adarawa,,dialect,Africa,,
addi1235,Addis Ababa,,dialect,Africa,,
addi1234,Addis Ababa Ethiopian Sign Language,,dialect,Africa,,
adel1244,Adele,ade,language,Africa,8.16975,0.619185
ader1239,Aderawa,,dialect,Africa,,
adho1243,Adhola,adh,language,Africa,0.73235,34.0341
adib1240,Adibom,,dialect,Africa,,
adie1238,Adie,,dialect,Africa,,
adim1238,Adim,,dialect,Africa,,
adio1239,Adioukrou,adj,language,Africa,5.38228,-4.52522
adju1239,Adjumani,,dialect,Africa,,
adom1238,Adoma,,dialect,Africa,,
adoy1238,Adoyo,,dialect,Africa,,
adug1238,Aduge,adu,language,Africa,7.64567,6.13085
adun1238,Adun,,dialect,Africa,,
afaa1238,Afa,,dialect,Africa,,
afad1236,Afade,aal,language,Africa,12.0551,14.6343
afar1241,Afar,aar,language,Africa,12.2281,41.8083
afas1238,Af-Ashraaf,,dialect,Africa,,
affa1240,Affade,,dialect,Africa,,
affi1239,Affiniam,,dialect,Africa,,
afhe1238,Af-Helledi,,dialect,Africa,,
afik1238,Afikpo,,dialect,Africa,,
afit1238,Afitti,aft,language,Africa,12.446,30.7611
afri1275,Afrihili,afh,language,Africa,,
afri1274,Afrikaans,afr,language,Africa,-31.63272,20.46356
afri1272,Afrike,,dialect,Africa,,
afud1235,Afudu,,language,Africa,7.17893,10.22439
agal1241,Agalo,,dialect,Africa,,
agar1249,Agar,,dialect,Africa,,
agat1236,Agatu,agc,language,Africa,7.97915,7.71639
agau1239,Agaunshe,,dialect,Africa,,
agba1238,Agbarho,,dialect,Africa,,
agbi1234,Agbirigba,,language,Africa,,
agbo1241,Agbome,,dialect,Africa,,
agbo1242,Agbon,,dialect,Africa,,
agee1238,Ageer,,dialect,Africa,,
aghe1239,Aghem,agq,language,Africa,6.38956,10.0807
agho1238,Agholo,,dialect,Africa,,
agii1244,Agi (Moru),,dialect,Africa,,
agoi1247,Agoi-Efom,,dialect,Africa,,
agoi1244,Agoi (Gen),,dialect,Africa,,
ikoo1244,Agoi-Ibami,,dialect,Africa,,
agon1238,Agona,,dialect,Africa,,
agra1238,Agrab,,dialect,Africa,,
aguu1242,Agu (Ewe),,dialect,Africa,,
agun1238,Aguna,aug,language,Africa,7.49256,1.74452
aguo1238,Aguok,,dialect,Africa,,
agwa1247,Agwagwune,yay,language,Africa,5.81055,8.03166
agwa1246,Agwatashi,,dialect,Africa,,
ahaf1238,Ahafo,,dialect,Africa,,
ahan1244,Àhàn,ahn,language,Africa,7.44139,6.00896
ahan1243,Ahanta,aha,language,Africa,4.85147,-1.94657
ahei1238,Aheima,,dialect,Africa,,
aima1242,Aimara,,dialect,Africa,,
airr1242,Air (Berber),,dialect,Africa,,
aiye1242,||'Aiye,,dialect,Africa,,
aiye1241,Aiyegunle,,dialect,Africa,,
ajab1235,Aja (Benin),ajg,language,Africa,7.06634,1.64992
ajas1235,Aja (South Sudan),aja,language,Africa,8.58003,25.6122
ajaw1236,Ajawa,ajw,language,Africa,10.21,9.89205
ajee1238,Aje,,dialect,Africa,,
eloy1241,Ajiri,afo,language,Africa,8.24696,7.97061
ajra1238,Ajra,,dialect,Africa,,
ajug1238,Ajugu,,dialect,Africa,,
ajum1239,Ajumba,,dialect,Africa,,
mbuu1238,Ajumbu,muc,language,Africa,6.53792,10.2556
akaa1242,Aka,soh,language,Africa,11.2101,33.6524
akam1238,Akamkpa-Ejagham,,dialect,Africa,,
akan1250,Akan,aka,language,Africa,6.34756,-1.33254
akas1242,Akaselem,aks,language,Africa,8.8858,1.37035
akas1241,Akassa,,dialect,Africa,,
akeb1238,Akebu,keu,language,Africa,7.78365,0.77668
akel1235,Akelel,,dialect,Africa,,
akhm1237,Akhmimic,,dialect,Africa,,
akho1238,Akhoe,,dialect,Africa,,
mosi1247,Akie,mwy,language,Africa,-5.43471,37.1869
akoo1249,Ako (Atlantic-Congo),,dialect,Africa,,
akoo1248,Akoose,bss,language,Africa,4.9243,9.65522
akpa1238,Akpa,akf,language,Africa,7.32586,8.01629
akpa1243,Akpafu,,dialect,Africa,,
akpe1247,Akpe,,dialect,Africa,,
akpe1248,Akpes,ibe,language,Africa,7.50256,5.95559
akpo1242,Akpo-Mgbu-Tolu,,dialect,Africa,,
akpo1243,Akpondu,,language,Africa,9.235232,8.545454
akua1239,Akuapem,,dialect,Africa,,
akuk1235,Akuku,ayk,language,Africa,7.40354,6.34264
akum1238,Akum,aku,language,Africa,6.85716,9.96261
akun1239,Akunnu,,dialect,Africa,,
akwa1248,Akwa,akw,language,Africa,-0.39897,15.4623
akwa1249,Akwanga,,dialect,Africa,,
akwa1247,Akwa (Nigeria),,dialect,Africa,,
akee1238,Akye,aik,language,Africa,8.59543,8.75768
akye1239,Akyem Bosome,,dialect,Africa,,
alab1254,Alaba-K'abeena,alw,language,Africa,7.39014,38.1732
alad1239,Alada,,dialect,Africa,,
